Date Found,Company,Role,Base Score,Penalties Applied,Final Score,Applied (Y/N),Platform,URL,Source,Notes
2026-09-14,Adobe,Staff Applied Scientist - VLLM Inference,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Staff-Applied-Scientist_R170044,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Staff Applied Scientist - 3D Synthetic Data,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Senior-Applied-Scientist_R166828,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Research Scientist/Engineer,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Seattle/Research-Scientist-Engineer_R170713,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,"Staff UX Researcher, AI",20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Francisco/Staff-UX-Researcher--Agentic-AI_R170562-1,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Applied Scientist,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Seattle/Applied-Scientist_R168308,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Principal Applied Scientist,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Principal-Applied-Scientist_R169520-1,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,"Staff Applied Scientist, Firefly Foundry",20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Sr-Applied-Scientist--Generative-AI-ML_R161074,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Research Scientist,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Research-Scientist_R166368,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Adobe,Senior Applied Researcher,20,"Domain mismatch: requires PhD in CS/ML + hands-on deep learning framework experience (PyTorch/TensorFlow/JAX) for generative AI research; her PhD and technical background are in psychology/behavioral science, not CS/ML",10,N,workday,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/Senior-Applied-Researcher_R156806,API,"Title matches ""Applied/Research Scientist"" nominally but core function is ML/GenAI engineering research, not applied behavioral or perceptual science. Scored via representative sample of this Adobe job family (see Lead Applied Researcher R167861, Manager Applied Research R169322, Research Scientist R166368 for full descriptions fetched)."
2026-09-14,Monterey Technologies Inc,Sr. Human Factors Engineer,85,"Government-specific standards unfamiliarity (MIL-STD-1472, NASA TLX, Bedford Workload Scale, SUS) and borderline years (6+ required, demonstrated experience not explicitly industry-only)",70,N,lever,https://jobs.lever.co/mti-inc/2e434914-20e7-4664-b132-96522565348a,Web Search,"Strong match: human factors engineering, usability studies, workload/situational-awareness experiments, safety-relevant work directly parallels her Sandia hazard-map research. Remote. Requires US person + security clearance eligibility. Bachelor's + 6 years ""demonstrated experience"" required, Master's/PhD preferred -- ambiguous whether research experience counts toward the 6 years, did not apply hard experience cap. No comp listed."
2026-09-14,Grotto AI,Behavioral Scientist,85,"Experience-gap cap: two non-negotiable requirements not met (3+ years applying behavioral science/psychology in a product or applied research SETTING, industry, and 1+ year at an early-stage/growth-stage startup)",50,N,ashby,https://jobs.ashbyhq.com/grotto/21d12f0c-d524-4036-a5b5-cf0d45c7b1e9,Web Search,"Strong content match: behavioral science, causal inference, habit/behavior-change research, explicitly wants people who ""build with AI tools (Claude, Copilot, etc.)"" -- AI-forward bonus would apply but is moot under the cap. In-person NYC (would require relocation). Small early-stage startup."
